Timepoint,Actinobacteria,Bacteroidetes,Desulfobacterota,Firmicutes,Proteobacteria,Acidobacteria,Euryarchaeota,Lentisphaerae,Synergistetes,Verrucomicrobia
-10,53,420,,822,,,,,,
-10,55,124,84,28,185,,,,,
-10,55,111,,1045,,,,,,
-10,82,441,,900,,,,,,
-10,93,97,,918,,,,,,
-10,96,135,52,40,68,,,,,
-10,96,128,,1048,,,,,,
-10,97,106,,998,,,,,,
-10,112,253,120,59,178,,,,,
-10,112,132,,1108,,,,,,
-10,129,259,84,94,185,,,,,
-10,129,141,,1168,,,,,,
-10,162,274,,131,,,,,,
-10,162,153,,1241,,,,,,
-10,166,282,,775,,,,,,
-10,166,124,,1274,,,,,,
-10,,135,,37,,,,,,
-10,,253,,38,,,,,,
-10,,259,,1516,,,,,,
-10,,274,,1585,,,,,,
-10,,282,,1750,,,,,,
-10,,420,,1903,,,,,,
-10,,441,,2007,,,,,,
-10,,,,2042,,,,,,
-10,,,,2265,,,,,,
-10,,,,2362,,,,,,
-10,,,,2373,,,,,,
-10,,,,2526,,,,,,
-10,,,,2621,,,,,,
-10,,,,28,,,,,,
-10,,,,40,,,,,,
-10,,,,59,,,,,,
-10,,,,94,,,,,,
-10,,,,131,,,,,,
-10,,,,775,,,,,,
-10,,,,822,,,,,,
-10,,,,900,,,,,,
-10,,,,918,,,,,,
-10,,,,998,,,,,,
-10,,,,1045,,,,,,
-10,,,,1048,,,,,,
-10,,,,1108,,,,,,
-10,,,,1168,,,,,,
-10,,,,1241,,,,,,
-10,,,,1274,,,,,,
-1,172,2,161,9,63,10.66666667,0,54,16209.83334,6034.166667
-1,103,100,,62,109,,,,,
-1,266,164,,118,127,,,,,
-1,172,168,,182,63,,,,,
-1,1448.166667,245,,217,109,,,,,
-1,,253,,236,127,,,,,
-1,,293,,267,16729,,,,,
-1,,173,,2454,,,,,,
-1,,192,,2588,,,,,,
-1,,196,,2681,,,,,,
-1,,242,,3062,,,,,,
-1,,251,,3224,,,,,,
-1,,266,,3899,,,,,,
-1,,269,,4313,,,,,,
-1,,285,,34,,,,,,
-1,,299,,78,,,,,,
-1,,2,,601,,,,,,
-1,,100,,635,,,,,,
-1,,164,,668,,,,,,
-1,,168,,761,,,,,,
-1,,245,,820,,,,,,
-1,,253,,906,,,,,,
-1,,293,,974,,,,,,
-1,,37174.5,,1123,,,,,,
-1,,,,1206,,,,,,
-1,,,,1383,,,,,,
-1,,,,1551,,,,,,
-1,,,,9,,,,,,
-1,,,,62,,,,,,
-1,,,,118,,,,,,
-1,,,,182,,,,,,
-1,,,,217,,,,,,
-1,,,,236,,,,,,
-1,,,,267,,,,,,
-1,,,,2454,,,,,,
-1,,,,2588,,,,,,
-1,,,,2681,,,,,,
-1,,,,3062,,,,,,
-1,,,,3224,,,,,,
-1,,,,3899,,,,,,
-1,,,,4313,,,,,,
-1,,,,20663.33334,,,,,,
0,52,39,163,27,52,8.333333335,0,0,27,0
0,83,100,39,41,67,,0,0,48,0
0,104,135,163,87,89,,0,0,48,0
0,109,143,,113,97,,0,0,63,0
0,204,151,,158,111,,0,0,73,0
0,52,152,,308,123,,0,0,78,0
0,83,194,,365,151,,0,9.333333332,18349.5,0
0,104,376,,370,196,,,,,0
0,109,408,,398,254,,,,,0
0,204,604,,1781,52,,,,,0
0,0,646,,1818,67,,,,,0
0,0,88,,1938,89,,,,,3
0,0,181,,2201,97,,,,,3391.5
0,0,215,,2297,111,,,,,
0,0,216,,2762,0,,,,,
0,0,308,,3146,0,,,,,
0,1605.833333,320,,17,0,,,,,
0,,332,,21,0,,,,,
0,,335,,799,0,,,,,
0,,350,,874,0,,,,,
0,,366,,887,0,,,,,
0,,39,,895,0,,,,,
0,,100,,960,0,,,,,
0,,135,,969,0,,,,,
0,,143,,1036,0,,,,,
0,,151,,1146,0,,,,,
0,,152,,1210,0,,,,,
0,,194,,1478,0,,,,,
0,,376,,1484,0,,,,,
0,,408,,27,0,,,,,
0,,604,,41,0,,,,,
0,,646,,87,0,,,,,
0,,5,,113,0,,,,,
0,,10,,158,9,,,,,
0,,10,,308,13,,,,,
0,,11,,365,17,,,,,
0,,16,,370,19,,,,,
0,,24,,398,22,,,,,
0,,43,,1781,24,,,,,
0,,46,,1818,32,,,,,
0,,327,,1938,41,,,,,
0,,388,,2201,47,,,,,
0,,468,,2297,49,,,,,
0,,474,,2762,63,,,,,
0,,525,,3146,20033.83334,,,,,
0,,662,,6,,,,,,
0,,19366.16667,,8,,,,,,
0,,,,33,,,,,,
0,,,,37,,,,,,
0,,,,52,,,,,,
0,,,,70,,,,,,
0,,,,77,,,,,,
0,,,,79,,,,,,
0,,,,100,,,,,,
