,Metro,Zehrs/NF,HG,Wal mart,T&T,Costco ,Campus,MF,Bulk Barn,Longos,Trotters,Resto,Baker,Misc,Budget,Spending days
,271.45,38.48,24.72,77.17,72.55,0,61.29,31.27,4.71,0,0,87.67,40,1211.34,1,16
2019-09-03,95.44,,,77.17,,,,,,,,,,,1,16
2019-09-05,,,,,,,11.29,,,,,,,,1,16
2019-09-06,70.14,,,,,,,,,,,,,,1,16
2019-09-09,,,,,,,50,,,,,,,,1,16
2019-09-10,40.18,,,,,,,,,,,,,,1,16
2019-09-11,,,,,,,,,4.71,,,12.72,,,1,16
2019-09-12,,,,,,,,,,,,,,1116.25,1,16
2019-09-13,,,,,,,,,,,,44.64,,,1,16
2019-09-14,,,,,,,,31.27,,,,,,,1,16
2019-09-18,65.69,,,,,,,,,,,,,,1,16
2019-09-19,,,24.72,,,,,,,,,,,,1,16
2019-09-20,,,,,,,,,,,,,,13,1,16
2019-09-21,,,,,,,,,,,,,40,9.2,1,16
2019-09-22,,,,,,,,,,,,30.31,,,1,16
2019-09-24,,38.48,,,,,,,,,,,,,1,16
2019-09-26,,,,,72.55,,,,,,,,,72.89,1,16
,113.03,52.87,0,18.34,0,0,0,0,0,0,0,557.51,34.82,518.02,1,19
2019-10-01,61.62,,,,,,,,,,,,,62.76,1,19
2019-10-05,,,,,,,,,,,,54.54,,,1,19
2019-10-07,31.49,,,,,,,,,,,,,,1,19
2019-10-10,,,,,,,,,,,,,,26,1,19
2019-10-11,,,,,,,,,,,,70.17,,20,1,19
2019-10-11,,,,,,,,,,,,,,175.15,1,19
2019-10-11,,,,,,,,,,,,,,3.14,1,19
2019-10-12,,,,,,,,,,,,201.4,,,1,19
2019-10-12,,,,,,,,,,,,,,34.45,1,19
2019-10-13,,,,,,,,,,,,115.66,34.82,,1,19
2019-10-18,,31.5,,,,,,,,,,61.08,,22.56,1,19
2019-10-19,,,,,,,,,,,,,,143.46,1,19
2019-10-19,,,,,,,,,,,,,,8.55,1,19
2019-10-21,,,,18.34,,,,,,,,,,,1,19
2019-10-21,19.92,,,,,,,,,,,,,,1,19
